Income,Age,Dependents,Rent,Loan_Repayment,Insurance,Groceries,Transport,Eating_Out,Entertainment,Utilities,Healthcare,Education,Miscellaneous,Desired_Savings_Percentage,Desired_Savings,Disposable_Income,Potential_Savings_Groceries,Potential_Savings_Transport,Potential_Savings_Eating_Out,Potential_Savings_Entertainment,Potential_Savings_Utilities,Potential_Savings_Healthcare,Potential_Savings_Education,Potential_Savings_Miscellaneous,Total_Expenses,Total_Potential_Savings,Savings_Gap,Expense_Ratio,Recovery_Rate,City_Tier_Tier_2,City_Tier_Tier_3,Occupation_Retired,Occupation_Self_Employed,Occupation_Student,Cluster,Vulnerability_Label
44637.24963568593,49,0,13391.174890705775,0.0,2206.490129258186,6658.768340572072,2636.9706962044347,1651.8017262162875,1536.1842554984205,2911.792230881923,1546.9145393077706,0.0,831.5251201893564,13.890948127514209,6200.537192442157,11265.6277068517,1685.696221820344,328.895281163744,465.7691723793779,195.1513197044244,678.292858894135,67.68247059153573,0.0,85.7355167261814,30333.60667938668,3507.2228412797417,-5065.090514409542,0.6795581476672349,0.6922937581363984,False,False,False,True,False,1,At Risk
26858.596591729543,34,2,5371.719318345909,0.0,869.522616973343,2818.444460208314,1543.018777757239,649.378102691658,1050.241737526573,1626.1433462348405,1137.3513250935068,1551.723167073342,564.2350071403704,7.160375737936883,1923.1764339045449,9676.818732684447,540.3065609743139,119.3471392729626,141.8660892207998,234.13116770757009,286.6684081170868,6.603211579465993,56.30687375031202,97.38860573311446,15748.02023493138,1482.6180563556256,-7753.642298779902,0.5863307184032319,0.1911910310278138,True,False,True,False,False,0,Stable
50367.60508357677,35,1,7555.140762536515,4612.103386494076,2201.80004994864,6313.222080930132,3221.396403447025,1513.814375754018,1723.3069258963044,3368.457107630641,2178.5158473219,3160.0262993703845,628.3712199568122,13.9978075391687,7050.360421687626,13891.450624290315,1466.0739836139662,473.54975177871074,410.85712937681257,459.9652564827151,488.3834232749426,7.290892451943464,106.65359736162743,138.54242192398323,29033.879802886917,3551.316456264701,-6841.09020260269,0.5764395538503362,0.51903970148096,False,True,False,False,True,1,At Risk
101455.6002469913,21,0,15218.340037048692,6809.441426747919,4889.418087072337,14690.149362877528,7106.13000500776,5040.249157842395,2858.1942402624245,6128.5503866316585,4571.118216513439,0.0,2526.0557123260573,16.45543971526684,16694.965136405768,31617.95361466108,1875.9327700858253,762.0207885828804,1241.0174478115837,320.1905938249095,1389.8150326091811,193.5027543462559,0.0,296.0411827445534,55612.7314061839,6078.520570005188,-14922.988478255313,0.5481484636707683,0.4072986640844551,False,True,False,True,False,1,At Risk
24875.28354773196,52,4,4975.056709546392,3112.6093984226027,635.90717006727,3034.3296645448127,1276.1551627316926,692.8272250153346,660.1868515437461,1092.6890239734755,1169.0958159721715,1445.2156935520268,515.5103002593428,7.533982196578117,1874.0994338344517,6265.700532103096,788.9531239694041,68.16076563734855,61.71250516811943,187.17375009486523,194.11712989682545,47.29459127462688,67.38812048153109,96.5570761532972,14345.556146879651,1511.3570626760177,-4391.601098268644,0.5766992010102183,0.3440688168273971,True,False,False,False,False,0,Stable
24875.61026730744,57,4,4975.122053461488,0.0,1038.2309962500822,3250.0677560648446,1760.1648115834282,1049.0674532807411,751.0168146471772,1024.3097649089866,1022.2954389405938,2003.8520351331745,402.2178433867344,5.9442415409980445,1478.6663590860635,7599.265299650189,957.6191160978576,521.683848125779,135.92586532351916,148.9523258765519,86.56725555959414,13.14368313838549,33.96184273790608,96.6759246838882,15835.896128020431,1994.5298615434815,-6120.598940564126,0.6366033218020233,0.325818447256801,True,False,False,True,False,0,Stable
106119.69276166476,53,0,21223.938552332955,0.0,4360.20271016577,12790.390693134332,6345.738035731931,4390.9051043167165,2626.7716291812085,6202.549938283066,3807.098561946348,0.0,2776.7718136754547,17.338501566220952,18399.564591550105,41595.32572289698,2799.2346580002645,912.9585991955475,438.0097899965057,541.7023631137348,838.2999886442497,111.85758821687008,0.0,409.453143002822,57387.39251492655,6051.516130169994,-23195.761131346877,0.5407798592464214,0.2608776326964153,True,False,False,True,False,1,At Risk
55431.34150830326,40,1,11086.268301660652,8307.702220408508,1755.439820438597,8194.482409804936,3353.001888004895,1741.913581746191,1219.684252046555,2361.975892745867,2574.449980700129,5520.436851603138,850.0417120514694,11.972313337769307,6636.413892703046,8465.944597092319,1059.4996401341882,838.1637000499502,466.1792578821057,327.90205887320263,353.4116495524101,92.73953758904796,116.12172653106074,71.52096334085267,36052.21315831236,3325.538533952818,-1829.5307043892728,0.6503940221780844,1.816707322078124,True,False,False,False,False,1,At Risk
20606.733120766687,32,4,6182.019936230005,3562.488826158373,1018.5899396507028,3066.867219909219,1170.7906657213473,688.059837660429,418.23381565559583,921.2327170937116,830.2370548088703,1939.2265470814748,446.06868836859496,6.304983639055541,362.9178724283629,362.9178724283629,822.974022717233,212.99805916314264,85.48914206375149,97.81294649939096,252.34438341735176,9.984249639318367,59.95784809199136,80.75435332894958,15216.667794160654,1622.315004921129,0.0,0.7384318370594062,1622.315004921129,False,False,True,False,False,2,Vulnerable
46304.79023459725,30,1,9260.95804691945,0.0,2130.2548254922986,5065.627031541116,2500.0548471092625,2040.3106657836292,1016.6131635998316,2945.4335609918926,1649.7575140341282,3085.991146873468,919.533156236054,12.126401429533283,5615.1047449505895,15690.256276016116,962.0198876930228,380.27226241830766,598.8829040322513,188.31164182806216,793.6444698685805,34.87304365475653,39.73884111096927,203.1466749526172,27564.745976852777,3200.889725558567,-10075.151531065529,0.5952892959281221,0.3176698678746528,True,False,False,False,True,1,At Risk
